,recording,file,label,valid_frames,recording_short,unique_label
27,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,457.npy,NaturalVideo,300,2-10,2-10_457_NaturalVideo
28,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,421.npy,Gabor,300,2-10,2-10_421_Gabor
29,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,607.npy,NaturalVideo,300,2-10,2-10_607_NaturalVideo
30,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,243.npy,NaturalVideo,300,2-10,2-10_243_NaturalVideo
31,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,22.npy,Gabor,300,2-10,2-10_22_Gabor
32,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,372.npy,NaturalVideo,300,2-10,2-10_372_NaturalVideo
33,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,168.npy,PinkNoise,324,2-10,2-10_168_PinkNoise
34,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,538.npy,NaturalVideo,300,2-10,2-10_538_NaturalVideo
35,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,64.npy,NaturalVideo,300,2-10,2-10_64_NaturalVideo
36,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,398.npy,NaturalVideo,300,2-10,2-10_398_NaturalVideo
37,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,71.npy,NaturalVideo,300,2-10,2-10_71_NaturalVideo
38,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,389.npy,NaturalVideo,300,2-10,2-10_389_NaturalVideo
39,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,444.npy,NaturalVideo,300,2-10,2-10_444_NaturalVideo
40,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,548.npy,NaturalVideo,300,2-10,2-10_548_NaturalVideo
41,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,540.npy,Gabor,300,2-10,2-10_540_Gabor
42,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,288.npy,NaturalVideo,300,2-10,2-10_288_NaturalVideo
43,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,317.npy,NaturalVideo,300,2-10,2-10_317_NaturalVideo
44,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,516.npy,NaturalVideo,300,2-10,2-10_516_NaturalVideo
45,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,149.npy,NaturalVideo,300,2-10,2-10_149_NaturalVideo
46,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,267.npy,NaturalVideo,300,2-10,2-10_267_NaturalVideo
47,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,459.npy,NaturalVideo,300,2-10,2-10_459_NaturalVideo
48,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,411.npy,NaturalVideo,300,2-10,2-10_411_NaturalVideo
49,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,613.npy,NaturalVideo,300,2-10,2-10_613_NaturalVideo
50,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,530.npy,NaturalVideo,300,2-10,2-10_530_NaturalVideo
51,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,306.npy,NaturalVideo,300,2-10,2-10_306_NaturalVideo
52,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,78.npy,NaturalVideo,300,2-10,2-10_78_NaturalVideo
53,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,261.npy,NaturalVideo,300,2-10,2-10_261_NaturalVideo
54,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,588.npy,NaturalVideo,300,2-10,2-10_588_NaturalVideo
55,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,356.npy,NaturalVideo,300,2-10,2-10_356_NaturalVideo
56,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,426.npy,NaturalVideo,300,2-10,2-10_426_NaturalVideo
57,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,338.npy,NaturalVideo,300,2-10,2-10_338_NaturalVideo
58,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,287.npy,NaturalVideo,300,2-10,2-10_287_NaturalVideo
59,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,665.npy,NaturalImages,322,2-10,2-10_665_NaturalImages
60,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,28.npy,NaturalVideo,300,2-10,2-10_28_NaturalVideo
61,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,285.npy,NaturalVideo,300,2-10,2-10_285_NaturalVideo
62,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,319.npy,Gabor,300,2-10,2-10_319_Gabor
63,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,709.npy,NaturalImages,319,2-10,2-10_709_NaturalImages
64,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,313.npy,NaturalVideo,300,2-10,2-10_313_NaturalVideo
65,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,641.npy,NaturalVideo,300,2-10,2-10_641_NaturalVideo
66,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,235.npy,Gabor,300,2-10,2-10_235_Gabor
67,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,626.npy,NaturalVideo,300,2-10,2-10_626_NaturalVideo
68,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,554.npy,NaturalVideo,300,2-10,2-10_554_NaturalVideo
69,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,134.npy,NaturalVideo,300,2-10,2-10_134_NaturalVideo
70,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,654.npy,NaturalVideo,300,2-10,2-10_654_NaturalVideo
71,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,289.npy,NaturalVideo,300,2-10,2-10_289_NaturalVideo
72,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,391.npy,NaturalVideo,300,2-10,2-10_391_NaturalVideo
73,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,246.npy,NaturalVideo,300,2-10,2-10_246_NaturalVideo
74,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,436.npy,NaturalVideo,300,2-10,2-10_436_NaturalVideo
75,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,467.npy,NaturalVideo,300,2-10,2-10_467_NaturalVideo
76,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,104.npy,NaturalVideo,300,2-10,2-10_104_NaturalVideo
77,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,470.npy,NaturalVideo,300,2-10,2-10_470_NaturalVideo
78,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,44.npy,NaturalVideo,300,2-10,2-10_44_NaturalVideo
79,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,619.npy,NaturalVideo,300,2-10,2-10_619_NaturalVideo
80,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,602.npy,Gabor,300,2-10,2-10_602_Gabor
81,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,481.npy,NaturalVideo,300,2-10,2-10_481_NaturalVideo
82,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,276.npy,Gabor,300,2-10,2-10_276_Gabor
83,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,437.npy,NaturalVideo,300,2-10,2-10_437_NaturalVideo
84,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,423.npy,NaturalVideo,300,2-10,2-10_423_NaturalVideo
85,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,493.npy,PinkNoise,324,2-10,2-10_493_PinkNoise
86,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,543.npy,NaturalVideo,300,2-10,2-10_543_NaturalVideo
87,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,628.npy,NaturalVideo,300,2-10,2-10_628_NaturalVideo
88,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,358.npy,NaturalVideo,300,2-10,2-10_358_NaturalVideo
89,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,519.npy,NaturalVideo,300,2-10,2-10_519_NaturalVideo
90,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,460.npy,NaturalVideo,300,2-10,2-10_460_NaturalVideo
91,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,552.npy,NaturalVideo,300,2-10,2-10_552_NaturalVideo
92,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,198.npy,NaturalVideo,300,2-10,2-10_198_NaturalVideo
93,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,67.npy,NaturalVideo,300,2-10,2-10_67_NaturalVideo
94,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,156.npy,NaturalVideo,300,2-10,2-10_156_NaturalVideo
95,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,429.npy,NaturalVideo,300,2-10,2-10_429_NaturalVideo
96,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,395.npy,NaturalVideo,300,2-10,2-10_395_NaturalVideo
97,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,100.npy,NaturalVideo,300,2-10,2-10_100_NaturalVideo
98,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,687.npy,NaturalImages,318,2-10,2-10_687_NaturalImages
99,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,240.npy,NaturalVideo,300,2-10,2-10_240_NaturalVideo
100,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,567.npy,NaturalVideo,300,2-10,2-10_567_NaturalVideo
101,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,0.npy,NaturalVideo,300,2-10,2-10_0_NaturalVideo
102,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,417.npy,NaturalVideo,300,2-10,2-10_417_NaturalVideo
103,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,427.npy,PinkNoise,324,2-10,2-10_427_PinkNoise
104,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,205.npy,NaturalVideo,300,2-10,2-10_205_NaturalVideo
105,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,520.npy,NaturalVideo,300,2-10,2-10_520_NaturalVideo
106,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,518.npy,NaturalVideo,300,2-10,2-10_518_NaturalVideo
107,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,492.npy,NaturalVideo,300,2-10,2-10_492_NaturalVideo
108,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,639.npy,NaturalVideo,300,2-10,2-10_639_NaturalVideo
109,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,502.npy,NaturalVideo,300,2-10,2-10_502_NaturalVideo
110,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,51.npy,Gabor,300,2-10,2-10_51_Gabor
111,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,647.npy,NaturalVideo,300,2-10,2-10_647_NaturalVideo
112,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,239.npy,Gabor,300,2-10,2-10_239_Gabor
113,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,447.npy,NaturalVideo,300,2-10,2-10_447_NaturalVideo
114,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,579.npy,NaturalVideo,300,2-10,2-10_579_NaturalVideo
115,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,65.npy,PinkNoise,324,2-10,2-10_65_PinkNoise
116,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,589.npy,PinkNoise,324,2-10,2-10_589_PinkNoise
117,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,183.npy,NaturalVideo,300,2-10,2-10_183_NaturalVideo
118,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,21.npy,NaturalVideo,300,2-10,2-10_21_NaturalVideo
119,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,570.npy,NaturalVideo,300,2-10,2-10_570_NaturalVideo
120,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,651.npy,NaturalVideo,300,2-10,2-10_651_NaturalVideo
121,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,260.npy,NaturalVideo,300,2-10,2-10_260_NaturalVideo
122,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,684.npy,NaturalImages,322,2-10,2-10_684_NaturalImages
123,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,167.npy,NaturalVideo,300,2-10,2-10_167_NaturalVideo
124,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,250.npy,NaturalVideo,300,2-10,2-10_250_NaturalVideo
125,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,38.npy,NaturalVideo,300,2-10,2-10_38_NaturalVideo
126,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,355.npy,NaturalVideo,300,2-10,2-10_355_NaturalVideo
127,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,446.npy,NaturalVideo,300,2-10,2-10_446_NaturalVideo
128,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,513.npy,NaturalVideo,300,2-10,2-10_513_NaturalVideo
129,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,199.npy,NaturalVideo,300,2-10,2-10_199_NaturalVideo
130,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,568.npy,NaturalVideo,300,2-10,2-10_568_NaturalVideo
131,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,297.npy,NaturalVideo,300,2-10,2-10_297_NaturalVideo
132,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,234.npy,NaturalVideo,300,2-10,2-10_234_NaturalVideo
133,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,147.npy,NaturalVideo,300,2-10,2-10_147_NaturalVideo
134,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,413.npy,NaturalVideo,300,2-10,2-10_413_NaturalVideo
135,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,555.npy,NaturalVideo,300,2-10,2-10_555_NaturalVideo
136,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,466.npy,NaturalVideo,300,2-10,2-10_466_NaturalVideo
137,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,702.npy,NaturalImages,317,2-10,2-10_702_NaturalImages
138,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,90.npy,NaturalVideo,300,2-10,2-10_90_NaturalVideo
139,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,165.npy,PinkNoise,324,2-10,2-10_165_PinkNoise
140,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,224.npy,NaturalVideo,300,2-10,2-10_224_NaturalVideo
141,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,127.npy,NaturalVideo,300,2-10,2-10_127_NaturalVideo
142,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,48.npy,NaturalVideo,300,2-10,2-10_48_NaturalVideo
143,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,393.npy,NaturalVideo,300,2-10,2-10_393_NaturalVideo
144,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,507.npy,NaturalVideo,300,2-10,2-10_507_NaturalVideo
145,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,396.npy,NaturalVideo,300,2-10,2-10_396_NaturalVideo
146,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,495.npy,NaturalVideo,300,2-10,2-10_495_NaturalVideo
147,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,451.npy,NaturalVideo,300,2-10,2-10_451_NaturalVideo
148,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,339.npy,NaturalVideo,300,2-10,2-10_339_NaturalVideo
149,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,431.npy,NaturalVideo,300,2-10,2-10_431_NaturalVideo
150,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,87.npy,PinkNoise,324,2-10,2-10_87_PinkNoise
151,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,614.npy,Gabor,300,2-10,2-10_614_Gabor
152,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,536.npy,NaturalVideo,300,2-10,2-10_536_NaturalVideo
153,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,185.npy,NaturalVideo,300,2-10,2-10_185_NaturalVideo
154,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,194.npy,NaturalVideo,300,2-10,2-10_194_NaturalVideo
155,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,238.npy,NaturalVideo,300,2-10,2-10_238_NaturalVideo
156,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,66.npy,NaturalVideo,300,2-10,2-10_66_NaturalVideo
157,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,697.npy,NaturalImages,322,2-10,2-10_697_NaturalImages
158,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,138.npy,NaturalVideo,300,2-10,2-10_138_NaturalVideo
159,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,440.npy,NaturalVideo,300,2-10,2-10_440_NaturalVideo
160,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,496.npy,NaturalVideo,300,2-10,2-10_496_NaturalVideo
161,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,54.npy,NaturalVideo,300,2-10,2-10_54_NaturalVideo
162,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,580.npy,NaturalVideo,300,2-10,2-10_580_NaturalVideo
163,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,608.npy,NaturalVideo,300,2-10,2-10_608_NaturalVideo
164,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,500.npy,NaturalVideo,300,2-10,2-10_500_NaturalVideo
165,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,69.npy,NaturalVideo,300,2-10,2-10_69_NaturalVideo
166,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,249.npy,PinkNoise,324,2-10,2-10_249_PinkNoise
167,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,310.npy,NaturalVideo,300,2-10,2-10_310_NaturalVideo
168,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,549.npy,PinkNoise,324,2-10,2-10_549_PinkNoise
169,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,275.npy,PinkNoise,324,2-10,2-10_275_PinkNoise
170,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,668.npy,NaturalImages,317,2-10,2-10_668_NaturalImages
171,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,448.npy,Gabor,300,2-10,2-10_448_Gabor
172,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,680.npy,NaturalImages,318,2-10,2-10_680_NaturalImages
173,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,463.npy,NaturalVideo,300,2-10,2-10_463_NaturalVideo
174,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,600.npy,Gabor,300,2-10,2-10_600_Gabor
175,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,130.npy,NaturalVideo,300,2-10,2-10_130_NaturalVideo
176,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,416.npy,NaturalVideo,300,2-10,2-10_416_NaturalVideo
177,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,142.npy,NaturalVideo,300,2-10,2-10_142_NaturalVideo
178,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,471.npy,NaturalVideo,300,2-10,2-10_471_NaturalVideo
179,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,501.npy,NaturalVideo,300,2-10,2-10_501_NaturalVideo
180,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,380.npy,NaturalVideo,300,2-10,2-10_380_NaturalVideo
181,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,361.npy,NaturalVideo,300,2-10,2-10_361_NaturalVideo
182,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,569.npy,NaturalVideo,300,2-10,2-10_569_NaturalVideo
183,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,228.npy,NaturalVideo,300,2-10,2-10_228_NaturalVideo
184,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,482.npy,PinkNoise,324,2-10,2-10_482_PinkNoise
185,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,316.npy,NaturalVideo,300,2-10,2-10_316_NaturalVideo
186,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,217.npy,NaturalVideo,300,2-10,2-10_217_NaturalVideo
187,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,76.npy,NaturalVideo,300,2-10,2-10_76_NaturalVideo
188,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,62.npy,NaturalVideo,300,2-10,2-10_62_NaturalVideo
189,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,294.npy,NaturalVideo,300,2-10,2-10_294_NaturalVideo
190,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,527.npy,Gabor,300,2-10,2-10_527_Gabor
191,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,350.npy,NaturalVideo,300,2-10,2-10_350_NaturalVideo
192,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,638.npy,NaturalVideo,300,2-10,2-10_638_NaturalVideo
193,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,402.npy,NaturalVideo,300,2-10,2-10_402_NaturalVideo
194,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,279.npy,NaturalVideo,300,2-10,2-10_279_NaturalVideo
195,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,542.npy,Gabor,300,2-10,2-10_542_Gabor
196,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,290.npy,NaturalVideo,300,2-10,2-10_290_NaturalVideo
197,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,172.npy,NaturalVideo,300,2-10,2-10_172_NaturalVideo
