,recording,file,label,valid_frames
34,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,18.npy,NaturalVideo,300
35,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,419.npy,NaturalVideo,300
36,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,177.npy,NaturalVideo,300
37,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,330.npy,NaturalVideo,300
38,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,26.npy,NaturalVideo,300
39,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,716.npy,NaturalImages,318
40,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,633.npy,NaturalVideo,300
41,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,43.npy,PinkNoise,324
42,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,497.npy,PinkNoise,324
43,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,498.npy,NaturalVideo,300
44,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,169.npy,PinkNoise,324
45,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,282.npy,Gabor,300
46,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,278.npy,NaturalVideo,300
47,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,215.npy,NaturalVideo,300
48,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,686.npy,NaturalImages,319
49,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,324.npy,PinkNoise,324
50,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,561.npy,NaturalVideo,300
51,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,181.npy,NaturalVideo,300
52,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,119.npy,Gabor,300
53,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,614.npy,Gabor,300
54,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,80.npy,PinkNoise,324
55,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,629.npy,NaturalVideo,300
56,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,314.npy,Gabor,300
57,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,354.npy,NaturalVideo,300
58,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,660.npy,NaturalImages,322
59,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,348.npy,NaturalVideo,300
60,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,604.npy,NaturalVideo,300
61,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,626.npy,NaturalVideo,300
62,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,671.npy,NaturalImages,318
63,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,657.npy,PinkNoise,324
64,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,3.npy,NaturalVideo,300
65,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,622.npy,NaturalVideo,300
66,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,515.npy,Gabor,300
67,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,393.npy,NaturalVideo,300
68,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,21.npy,NaturalVideo,300
69,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,443.npy,NaturalVideo,300
70,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,511.npy,NaturalVideo,300
71,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,678.npy,NaturalImages,318
72,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,452.npy,NaturalVideo,300
73,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,708.npy,NaturalImages,313
74,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,27.npy,Gabor,300
75,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,174.npy,NaturalVideo,300
76,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,352.npy,NaturalVideo,300
77,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,1.npy,NaturalVideo,300
78,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,136.npy,NaturalVideo,300
79,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,552.npy,NaturalVideo,300
80,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,329.npy,NaturalVideo,300
81,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,95.npy,NaturalVideo,300
82,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,115.npy,NaturalVideo,300
83,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,117.npy,PinkNoise,324
84,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,672.npy,NaturalImages,313
85,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,410.npy,Gabor,300
86,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,146.npy,NaturalVideo,300
87,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,59.npy,NaturalVideo,300
88,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,602.npy,Gabor,300
89,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,217.npy,NaturalVideo,300
90,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,61.npy,NaturalVideo,300
91,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,311.npy,NaturalVideo,300
92,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,106.npy,NaturalVideo,300
93,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,518.npy,NaturalVideo,300
94,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,501.npy,NaturalVideo,300
95,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,374.npy,PinkNoise,324
96,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,33.npy,Gabor,300
97,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,436.npy,NaturalVideo,300
98,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,560.npy,NaturalVideo,300
99,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,472.npy,NaturalVideo,300
100,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,138.npy,NaturalVideo,300
101,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,563.npy,NaturalVideo,300
102,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,412.npy,PinkNoise,324
103,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,359.npy,NaturalVideo,300
104,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,508.npy,NaturalVideo,300
105,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,258.npy,NaturalVideo,300
106,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,486.npy,NaturalVideo,300
107,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,676.npy,NaturalImages,319
108,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,667.npy,NaturalImages,319
109,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,465.npy,Gabor,300
110,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,637.npy,NaturalVideo,300
111,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,158.npy,Gabor,300
112,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,241.npy,NaturalVideo,300
113,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,112.npy,NaturalVideo,300
114,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,458.npy,NaturalVideo,300
115,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,461.npy,NaturalVideo,300
116,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,627.npy,NaturalVideo,300
117,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,415.npy,NaturalVideo,300
118,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,687.npy,NaturalImages,318
119,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,5.npy,NaturalVideo,300
120,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,195.npy,NaturalVideo,300
121,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,607.npy,NaturalVideo,300
122,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,661.npy,NaturalImages,322
123,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,499.npy,Gabor,300
124,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,44.npy,NaturalVideo,300
125,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,219.npy,NaturalVideo,300
126,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,673.npy,NaturalImages,318
127,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,269.npy,NaturalVideo,300
128,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,14.npy,NaturalVideo,300
129,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,175.npy,NaturalVideo,300
130,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,135.npy,NaturalVideo,300
131,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,268.npy,NaturalVideo,300
132,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,290.npy,NaturalVideo,300
133,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,413.npy,NaturalVideo,300
134,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,455.npy,PinkNoise,324
135,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,83.npy,NaturalVideo,300
136,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,429.npy,NaturalVideo,300
137,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,434.npy,Gabor,300
138,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,343.npy,NaturalVideo,300
139,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,143.npy,NaturalVideo,300
140,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,468.npy,NaturalVideo,300
141,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,666.npy,NaturalImages,313
142,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,46.npy,NaturalVideo,300
143,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,322.npy,NaturalVideo,300
144,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,406.npy,NaturalVideo,300
145,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,320.npy,NaturalVideo,300
146,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,583.npy,NaturalVideo,300
147,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,110.npy,NaturalVideo,300
148,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,466.npy,NaturalVideo,300
149,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,559.npy,NaturalVideo,300
150,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,623.npy,PinkNoise,324
151,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,638.npy,NaturalVideo,300
152,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,141.npy,NaturalVideo,300
153,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,260.npy,NaturalVideo,300
154,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,451.npy,NaturalVideo,300
155,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,711.npy,NaturalImages,317
156,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,316.npy,NaturalVideo,300
157,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,522.npy,NaturalVideo,300
158,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,435.npy,Gabor,300
159,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,317.npy,NaturalVideo,300
160,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,179.npy,NaturalVideo,300
161,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,467.npy,NaturalVideo,300
162,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,579.npy,NaturalVideo,300
163,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,142.npy,NaturalVideo,300
164,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,692.npy,NaturalImages,313
165,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,703.npy,NaturalImages,318
166,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,444.npy,NaturalVideo,300
167,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,565.npy,NaturalVideo,300
168,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,551.npy,NaturalVideo,300
169,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,365.npy,NaturalVideo,300
170,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,375.npy,Gabor,300
171,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,420.npy,NaturalVideo,300
172,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,74.npy,NaturalVideo,300
173,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,270.npy,NaturalVideo,300
174,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,709.npy,NaturalImages,319
175,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,658.npy,NaturalVideo,300
176,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,527.npy,Gabor,300
177,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,399.npy,NaturalVideo,300
178,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,351.npy,NaturalVideo,300
179,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,312.npy,NaturalVideo,300
180,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,137.npy,NaturalVideo,300
181,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,478.npy,NaturalVideo,300
182,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,589.npy,PinkNoise,324
183,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,42.npy,PinkNoise,324
184,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,665.npy,NaturalImages,322
185,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,454.npy,NaturalVideo,300
186,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,636.npy,NaturalVideo,300
187,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,220.npy,Gabor,300
188,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,702.npy,NaturalImages,317
189,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,93.npy,NaturalVideo,300
190,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,227.npy,PinkNoise,324
191,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,594.npy,NaturalVideo,300
192,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,624.npy,PinkNoise,324
193,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,47.npy,Gabor,300
194,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,369.npy,NaturalVideo,300
195,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,122.npy,NaturalVideo,300
196,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,196.npy,PinkNoise,324
197,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,394.npy,NaturalVideo,300
198,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,237.npy,PinkNoise,324
199,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,698.npy,NaturalImages,318
200,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,344.npy,PinkNoise,324
201,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,186.npy,PinkNoise,324
202,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,572.npy,NaturalVideo,300
203,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,8.npy,Gabor,300
204,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,333.npy,NaturalVideo,300
205,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,505.npy,PinkNoise,324
206,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,166.npy,Gabor,300
207,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,325.npy,NaturalVideo,300
208,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,650.npy,NaturalVideo,300
209,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,49.npy,NaturalVideo,300
210,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,183.npy,NaturalVideo,300
211,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,60.npy,NaturalVideo,300
212,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,339.npy,NaturalVideo,300
213,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,191.npy,NaturalVideo,300
214,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,34.npy,NaturalVideo,300
215,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,441.npy,NaturalVideo,300
216,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,77.npy,NaturalVideo,300
217,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,248.npy,NaturalVideo,300
218,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,714.npy,NaturalImages,318
219,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,337.npy,NaturalVideo,300
220,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,105.npy,NaturalVideo,300
221,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,683.npy,NaturalImages,322
222,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,691.npy,NaturalImages,318
223,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,422.npy,NaturalVideo,300
224,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,257.npy,NaturalVideo,300
225,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,531.npy,NaturalVideo,300
226,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,718.npy,NaturalImages,318
227,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,427.npy,PinkNoise,324
228,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,700.npy,NaturalImages,318
229,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,120.npy,NaturalVideo,300
230,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,113.npy,PinkNoise,324
231,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,377.npy,NaturalVideo,300
232,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,209.npy,PinkNoise,324
233,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,390.npy,NaturalVideo,300
234,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,345.npy,NaturalVideo,300
235,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,598.npy,Gabor,300
236,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,78.npy,NaturalVideo,300
237,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,514.npy,NaturalVideo,300
238,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,663.npy,NaturalImages,318
239,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,548.npy,NaturalVideo,300
240,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,489.npy,PinkNoise,324
241,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,92.npy,NaturalVideo,300
242,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,279.npy,NaturalVideo,300
243,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,139.npy,NaturalVideo,300
244,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,652.npy,NaturalVideo,300
245,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,76.npy,NaturalVideo,300
246,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,542.npy,Gabor,300
247,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,696.npy,NaturalImages,319
248,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,641.npy,NaturalVideo,300
249,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,97.npy,Gabor,300
250,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,639.npy,NaturalVideo,300
251,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,28.npy,NaturalVideo,300
252,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,360.npy,NaturalVideo,300
253,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,334.npy,NaturalVideo,300
254,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,529.npy,NaturalVideo,300
255,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,22.npy,Gabor,300
256,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,236.npy,PinkNoise,324
257,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,203.npy,PinkNoise,324
258,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,157.npy,NaturalVideo,300
259,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,610.npy,NaturalVideo,300
260,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,163.npy,NaturalVideo,300
261,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,100.npy,NaturalVideo,300
262,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,496.npy,NaturalVideo,300
263,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,668.npy,NaturalImages,317
264,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,288.npy,NaturalVideo,300
265,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,283.npy,PinkNoise,324
